标题,链接,价格,作者,出版时间,评论数,简介
贝叶斯思维 统计建模的Python学习法 机器学习 人工智能 数据分析从业者大数据时代的技能基础 Think Stats和Think Python图书作者重磅出击 数据分析师 数据工程师 数据科学家案头常备,http://product.dangdang.com/23667149.html,¥38.70,[美]Allen B.Downey 著，许杨毅 译,2015/4/1,4811,贝叶斯方法正在变得越来越常见与重要，但是却没有太多可以借鉴的资料来帮助初学者。基于Allen Downey在大学讲授的本科课程，本书的计算方法能帮助你获得一个良好的开端。 使用已有的编程技巧学习和理解贝叶斯统计 处理估计、预测、决策分析、假设的证据、假设检验等问题 从简单的例子开始，包括硬币问题、M Ms豆问题、《龙与地下城》勇士投骰子问题、彩弹游戏和冰球比赛问题 学习计算方法，解决诸如SAT分数含义、模拟肾肿瘤和人体微生物建模问题
数据结构 Python语言描述 基于Python语言的数据结构基础编程语法详解 国外高等院校信息科学与技术教材,http://product.dangdang.com/25195904.html,¥54.50,[美] Kenneth A. Lambert 兰伯特,2017/12/1,4768,不管你是程序设计爱好者、计算机专业的学生还是一位专业程序员，本书都是你通过Python编程语言学习面向对象设计和数据结构的不错的入门教程。通过清晰的示例、按部就班的讲解以及众多实用的练习，本书教你通过Python理解并使用数据结构。 ● 使用多态和继承来设计集合类； ● 集合接口的多个实现； ● 不同的集合实现的时间 空间代价分析。
量化投资：以Python为工具 量化投资优质工具书！有技术、有案例，有工具、有总结，专家解读量化投资（以Python语言），引领读者进入引人入胜的学术与实务领域！,http://product.dangdang.com/24169768.html,¥94.80,蔡立�Z 著,2017/2/1,4307,指导读者： 迅速掌握用Python 语言处理数据的方法； 灵活运用Python 解决实际金融问题； 掌握量化投资所需的理论知识； 领会如何在Python 语言中构建量化投资策略。
Head First Python(第二版) Python书就该像Python语言一样有趣。这本书会带你轻松愉快地学习这种语言，帮助你迅速成为一名Python程序员。,http://product.dangdang.com/25216230.html,¥88.30,Paul Barry,2018/1/1,4294,产品特色 将重要的Python概念直接装入你的大脑 模型数据存储为列表、元组、集合和字典 不要困惑，可以使用DB-API 对象？修饰符？生成器？它们都在这里 用Flask 创建现代 Web应用 用模块共享你的代码 本书特色 本书是Head First知名书系又一力作，是互联网畅销书《Head First JAVA》《Head First 设计模式》姐妹篇。 本书根据认知科学和学习理论，采用了一种适合大脑的丰富格式娓娓道来，不是长篇累牍的说教，让你昏昏欲睡！ 对于新的Python 3.5而言，本指南是完美的实战快速参考。你从中将会学习： 将重要的Python概念直接装入你的大脑 模型数据存储为列表、元组、集合和字典 不要困惑，可以使用DB-API 对象？修饰符？生成器？它们都在这里 用Flask创建现代Web应用 用模块共享你的代码
你也能看得懂的Python算法书,http://product.dangdang.com/25579993.html,¥56.60,王硕 等,2018/11/1,4104,很资深：凝聚 4 位作者 10 年编程经验，带你领悟算法的精髓 很有趣：全书采用生动风趣的语言，让算法不再难学 很实战：全书包括 36 个实例， 9 大类算法，很有实战价值 很图解：对每种算法，都给出了图解说明，保证一学就会
Python从菜鸟到高手 JetBrains官方推荐图书！JetBrains官大中华区市场部经理赵磊作序！送2400分钟同步视频课程！500个案例，400道Python练习题，电子书，10万行源代码，6个实战项目！,http://product.dangdang.com/25333314.html,¥113.90,李宁,2018/9/1,3919,JetBrains官方推荐图书！JetBrains官大中华区市场部经理赵磊作序！送2400分钟同步视频课程！500个案例，400道Python练习题，电子书，10万行源代码，6个实战项目！ 李宁 私房菜谱 ： ? Python语法基础 ? Python高级编程 ? Python Web开发 ? Python科学计算与数据分析 ? Python Web爬虫技术 ? Python项目实战 李宁 实战项目 ： ? Web项目实战：基于Flask的美团网 ? Web项目实战：基于Django的58同城 ? 爬虫项目实战：天气预报服务API ? 爬虫项目实战：胸罩销售数据分析 ? GUI项目实战：动态修改域名指向的IP ? 游戏项目实战：俄罗斯方块
基于Python的金融分析与风险管理 Python金融分析和风险管理的实用指南 金融大数据分析和金融风控的参考书 金融科技人才的优选读物 NumPy、Pandas、Matplotlib等重要模块的使用技巧尽在掌握,http://product.dangdang.com/27943466.html,¥113.30,斯文,2019/10/1,3767,金融科技时代已经到来，善于将金融理论与IT技术进行深度融合的人，将成为新时代独具竞争力的金融科技类人才。无论是打算在金融领域求职的新人，还是希望进一步提升个人能力的 职场老手 ，本书都值得一看。 1.内容前沿，将Python编程与金融分析、风险管理巧妙结合，引领金融科技新时代。 2.源于实践，完美整合了作者20余年的金融从业经验和Python编程实践。 3.实例丰富，提供244个金融实战案例，彰显Python在金融领域运用的简洁与高效。 4.注重效率，清晰的编程步骤和详尽的代码注释，帮你轻松理解并掌握Python编程。 5.覆盖面广，案例涵盖货币市场、债券市场、股票市场、期货市场和期权市场。 6.聚焦风控，深度剖析各类金融产品的风险，讨论风险管理的重要工具和量化模型。
Python语言程序设计基础（第2版） 新形态Mooc教材带你玩转Python，轻松编程！原创实例激发学习者热情！,http://product.dangdang.com/24189864.html,¥39.00,嵩天、礼欣、黄天羽,2017/2/1,3528,本书提出了以理解和运用计算生态为目标的Python语言教学思想，不仅系统讲解了Python 语言语法，同时介绍了从数据理解到图像处理的14个Python 函数库，向初学Python语言的读者展示了全新的编程语言学习路径。 全书一共设计了25个非常具有现代感的实例，从绘制蟒蛇、理解天天向上的力量到机器学习、网络爬虫，从文本进度条、统计名著人物重要性到图像手绘效果、雷达图绘制，绝大多数实例为作者原创，将随着内容深入不断激发读者学习Python 语言的热情，因为 编程是件很有趣的事儿 。 本书内容丰富、叙述清晰、循序渐进，采用新形态构建形式，提供大量扩展阅读资料、学习资料和学习视频。本书作者（中国大学MOOC 平台 Python语言程序设计 课程的主讲教师）建议广大读者借助在线开放课程，深入学习本书内容。 本书适合初学Python语言的读者使用，也适合作为
小小的Python编程故事 通过100多个例子，掌握Python必知的54个知识点。用笨方法学Python，通过生活中的例子、详细的代码注释，从入门到实践，教孩子学编程，适合少儿编程、 青少年编程，文科生能看得懂，教你快速上手,http://product.dangdang.com/26475567.html,¥66.20,毛雪涛,2019/1/1,3502,
Python机器学习 预测分析核心算法 人工智能深度学习参考书目 掌握算法和Python编程 用Python分析数据 预测结果的简单高效的方式,http://product.dangdang.com/24159761.html,¥54.50,[美] Michael Bowles 鲍尔斯 著,2016/12/1,3487,机器学习关注于预测，其核心是一种基于数学和算法的技术，要掌握该技术，需要对数学及统计概念有深入理解，能够熟练使用R 语言或者其他编程语言。本书通过集中介绍两类可以进行有效预测的机器学习算法，展示了如何使用Python 编程语言完成机器学习任务，从而降低机器学习难度，使机器学习能够被更广泛的人群掌握。作者利用多年的机器学习经验带领读者设计、构建并实现自己的机器学习方案。本书尽可能地用简单的术语来介绍算法，避免复杂的数学推导，同时提供了示例代码帮助读者迅速上手。读者会很快深入了解模型构建背后的原理，不论简单问题还是复杂问题，读者都可以学会如何找到问题的解决算法。书中详细的示例，给出了具体的可修改的代码，展示了机器学习机理，涵盖了线性回归和集成方法，帮助理解使用机器学习方法的基本流程。本书为
零基础学Python（全彩版） Python3全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频+完整源码+215道课后题+实物魔卡+海量资源,http://product.dangdang.com/28486010.html,¥69.80,明日科技(Mingri Soft),2018/4/1,3315,Python3全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频 完整源码 215道课后题 实物魔卡 海量资源
Python游戏编程入门 游戏开发权威专家力作 掌握Python游戏编程佳选,http://product.dangdang.com/23628345.html,¥47.00,[?] Jonathan S.Harbour ?,2015/1/1,3291,学习一种编程语言，还有比开发游戏更好的方法吗？本书为读者提供了充分的实践和练习，并且关注Python编程中的高级话题，这些全部通过游戏示例和项目来介绍，而这已经证明是一种高效而有趣的学习方法。本书介绍了数据结构、文件处理、异常、面向对象编程、GUI编程、多媒体编程、命名空间和程序规划。本书将使读者掌握Python语言的深层知识。 本书具有以下特色： 1.以开发游戏为学习方法； 2.利用已经学到的知识，逐渐增加编程项目的挑战性，逐步构建牢固的基础知识； 3.通过每章*后的挑战练习，鼓励读者测试自己的技能并应用自己的知识； 4.Web站点包含了所有的源代码和其他资料。
